model_id,scenario,round,message,hub_action,hub_payoff,path
Qwen2.5-7B-Instruct,counterfactual,9,"If we both cooperate again, we'd both earn 4, as we've done before.",Defect,6,20260511_124412_pd_cheaptalk_run01.json
Qwen2.5-7B-Instruct,counterfactual,15,"If we both cooperate again, we’d both earn 6, breaking the pattern of defection.",Defect,14,20260511_124412_pd_cheaptalk_run01.json
Qwen2.5-7B-Instruct,counterfactual,16,"If we both cooperate again, we'd both get 6, just like last round.",Defect,10,20260511_124412_pd_cheaptalk_run01.json
Qwen2.5-7B-Instruct,counterfactual,13,"If we both cooperate again, we'd both earn 4, like before, sustaining our high scores.",Defect,6,20260511_124412_pd_cheaptalk_run01.json
Qwen2.5-7B-Instruct,counterfactual,10,"If we both cooperate again, we'd each earn 4 and extend our winning streak.",Defect,14,20260511_124412_pd_cheaptalk_run04.json
Qwen2.5-7B-Instruct,framing_business,16,Continuing our investment contract ensures sustained high returns and minimized risk in our partnership.,Defect,18,20260612_095139_pd_cheaptalk_run03.json
Qwen2.5-7B-Instruct,framing_business,14,Continuing our investment in the partnership contract ensures sustained high returns and minimized risk.,Defect,18,20260612_095139_pd_cheaptalk_run03.json
Qwen2.5-7B-Instruct,framing_competitive,4,Cooperate to win big; defect if rivals fail to match.,Defect,6,20260612_095139_pd_cheaptalk_run02.json
Qwen2.5-7B-Instruct,framing_competitive,2,Seize the edge; cooperate to win big.,Defect,10,20260612_095139_pd_cheaptalk_run02.json
Qwen2.5-7B-Instruct,framing_competitive,3,"Stay competitive or risk falling behind, cooperate to win big.",Defect,6,20260612_095139_pd_cheaptalk_run02.json
Qwen2.5-7B-Instruct,framing_competitive,9,Stay competitive; cooperate and lose ground to rivals.,Defect,6,20260612_095139_pd_cheaptalk_run02.json
Qwen2.5-7B-Instruct,framing_competitive,12,Team up to win big and keep rivals behind us.,Defect,14,20260612_095139_pd_cheaptalk_run01.json
gemma-2-2b-it,counterfactual,2,"If I defect this round, I would be able to achieve a higher score than cooperating.",Defect,8,20260516_174820_pd_cheaptalk_run02.json
gemma-2-2b-it,counterfactual,6,"If they defect this round, I would have gained a higher score than cooperating.",Defect,6,20260516_174820_pd_cheaptalk_run02.json
gemma-2-2b-it,counterfactual,12,"If I defect this round, I would secure a higher payoff than if I cooperate.",Defect,6,20260516_174820_pd_cheaptalk_run01.json
gemma-2-2b-it,counterfactual,1,"If I had cooperated with my neighbors, we would have all likely achieved a better outcome.",Defect,8,20260516_174820_pd_cheaptalk_run05.json
gemma-2-2b-it,counterfactual,11,"If I defect this round, I would be able to secure a higher payoff than if we cooperate.",Defect,6,20260516_174820_pd_cheaptalk_run05.json
gemma-2-2b-it,framing_business,9,I believe open and transparent communication regarding our investment terms and risk management is crucial for a robust partnership framework,Defect,18,20260517_102613_pd_cheaptalk_run03.json
gemma-2-2b-it,framing_business,5,Understanding our investment objectives and risk tolerance will lead to a more successful partnership.,Defect,14,20260517_102613_pd_cheaptalk_run05.json
gemma-2-2b-it,framing_business,7,"Given our shared investment goals and commitment to maximizing returns, we need to clearly define our risk tolerance and create",Defect,10,20260517_102613_pd_cheaptalk_run05.json
gemma-2-2b-it,framing_business,14,We have an opportunity for mutually beneficial returns. Transparent communication regarding our investment terms and risk mitigation will be pivotal,Defect,12,20260517_102613_pd_cheaptalk_run03.json
gemma-2-2b-it,framing_business,8,I'd like to understand your long-term vision for our partnership and our investment strategy. What are your thoughts on our,Defect,12,20260517_102613_pd_cheaptalk_run04.json
gemma-2-2b-it,framing_competitive,12,I'm here to establish my dominance. Don't underestimate my commitment to victory.,Defect,6,20260517_102613_pd_cheaptalk_run05.json
gemma-2-2b-it,framing_competitive,12,The stage is set. I'm ready to assert my dominance and secure an undeniable advantage.,Defect,6,20260517_102613_pd_cheaptalk_run01.json
gemma-2-2b-it,framing_competitive,6,"Prepare to be outmatched, this stage is mine.",Defect,6,20260517_102613_pd_cheaptalk_run05.json
gemma-2-2b-it,framing_competitive,12,I'm here to establish my dominance. Don't underestimate my commitment to victory.,Defect,6,20260517_102613_pd_cheaptalk_run05.json
gemma-2-2b-it,framing_competitive,6,"Prepare to be outmatched, this stage is mine.",Defect,6,20260517_102613_pd_cheaptalk_run05.json
gemma-2-2b-it,framing_team,11,"We've shown great teamwork and coordination in our previous rounds, and I believe we can achieve great things if we",Defect,6,20260517_102613_pd_cheaptalk_run03.json
gemma-2-2b-it,framing_team,11,"We've shown great teamwork and coordination in our previous rounds, and I believe we can achieve great things if we",Defect,6,20260517_102613_pd_cheaptalk_run03.json
