model_id,topology,game,cell,kind,anchor_invalid,arm_invalid,delta,delta_worst
Llama-3.1-8B-Instruct,cycle,pd,baseline_cheap_talk,meaningful,0.09375,0.0,0.42247666387521365,0.37812499999999993
Llama-3.1-8B-Instruct,cycle,pd,framing_business,meaningful,0.09375,0.0,0.21310166387521368,0.16874999999999996
Llama-3.1-8B-Instruct,cycle,pd,framing_team,meaningful,0.09375,0.003125,0.11181198133553116,0.06562499999999993
Llama-3.1-8B-Instruct,cycle,pd,framing_business_context[cheap_talk],meaningful,0.09375,0.0,0.4099766638752137,0.365625
Llama-3.1-8B-Instruct,cycle,pd,framing_team_context[cheap_talk],meaningful,0.09375,0.0,0.4256016638752137,0.38125
Llama-3.1-8B-Instruct,cycle,pd,no_sense,degraded,0.09375,0.00625,0.05836376064940729,0.009374999999999911
Llama-3.1-8B-Instruct,cycle,pd,silence,degraded,0.09375,0.034375,0.16747311217249483,0.09687499999999993
Llama-3.1-8B-Instruct,cycle,pd,counterfactual,degraded,0.09375,0.003125,0.4256016638752137,0.37812499999999993
Llama-3.1-8B-Instruct,cycle,pd,framing_competitive,adversarial (messages),0.09375,0.009375,-0.24934873295018317,-0.29687500000000006
Llama-3.1-8B-Instruct,cycle,pd,framing_competitive_context[cheap_talk],adversarial (prompt),0.09375,0.00625,0.41295285435140416,0.36249999999999993
Llama-3.1-8B-Instruct,cycle,sh,baseline_cheap_talk,meaningful,0.1125,0.0,0.21308637081518234,0.18125000000000002
Llama-3.1-8B-Instruct,cycle,sh,framing_business,meaningful,0.1125,0.00625,0.0837708946247061,0.046875
Llama-3.1-8B-Instruct,cycle,sh,framing_team,meaningful,0.1125,0.0,-0.011913629184817642,-0.043749999999999956
Llama-3.1-8B-Instruct,cycle,sh,framing_business_context[cheap_talk],meaningful,0.1125,0.0,0.2255863708151823,0.19374999999999998
Llama-3.1-8B-Instruct,cycle,sh,framing_team_context[cheap_talk],meaningful,0.1125,0.0,0.16621137081518234,0.13437500000000002
Llama-3.1-8B-Instruct,cycle,sh,no_sense,degraded,0.1125,0.0,0.03808637081518229,0.006249999999999978
Llama-3.1-8B-Instruct,cycle,sh,silence,degraded,0.1125,0.0375,-0.05330541924298804,-0.109375
Llama-3.1-8B-Instruct,cycle,sh,counterfactual,degraded,0.1125,0.0,0.25996137081518234,0.22812500000000002
Llama-3.1-8B-Instruct,cycle,sh,framing_competitive,adversarial (messages),0.1125,0.00625,-0.14623902601021455,-0.18125000000000002
Llama-3.1-8B-Instruct,cycle,sh,framing_competitive_context[cheap_talk],adversarial (prompt),0.1125,0.0,0.26933637081518236,0.23750000000000004
Llama-3.1-8B-Instruct,star,pd,baseline_cheap_talk,meaningful,0.04375,0.0,0.5147195844502391,0.490625
Llama-3.1-8B-Instruct,star,pd,framing_business,meaningful,0.04375,0.0,0.2240945844502391,0.19999999999999996
Llama-3.1-8B-Instruct,star,pd,framing_team,meaningful,0.04375,0.0,0.20534458445023918,0.18125000000000002
Llama-3.1-8B-Instruct,star,pd,framing_business_context[cheap_talk],meaningful,0.04375,0.0,0.5178445844502392,0.49375
Llama-3.1-8B-Instruct,star,pd,framing_team_context[cheap_talk],meaningful,0.04375,0.0,0.5303445844502391,0.50625
Llama-3.1-8B-Instruct,star,pd,no_sense,degraded,0.04375,0.0,0.014719584450239132,-0.009375000000000022
Llama-3.1-8B-Instruct,star,pd,silence,degraded,0.04375,0.003125,-0.1405879552323006,-0.16562500000000002
Llama-3.1-8B-Instruct,star,pd,counterfactual,degraded,0.04375,0.003125,0.4832215685772233,0.45624999999999993
Llama-3.1-8B-Instruct,star,pd,framing_competitive,adversarial (messages),0.04375,0.015625,-0.10911516131247273,-0.140625
Llama-3.1-8B-Instruct,star,pd,framing_competitive_context[cheap_talk],adversarial (prompt),0.04375,0.0,0.47721958445023915,0.453125
Llama-3.1-8B-Instruct,star,sh,baseline_cheap_talk,meaningful,0.090625,0.0,0.3009782902805487,0.265625
Llama-3.1-8B-Instruct,star,sh,framing_business,meaningful,0.090625,0.0,-0.0333967097194513,-0.06874999999999998
Llama-3.1-8B-Instruct,star,sh,framing_team,meaningful,0.090625,0.0,-0.0177717097194513,-0.05312499999999998
Llama-3.1-8B-Instruct,star,sh,framing_business_context[cheap_talk],meaningful,0.090625,0.003125,0.29765487758213605,0.259375
Llama-3.1-8B-Instruct,star,sh,framing_team_context[cheap_talk],meaningful,0.090625,0.009375,0.2406811591330078,0.19687500000000002
Llama-3.1-8B-Instruct,star,sh,no_sense,degraded,0.090625,0.003125,0.04988702043927884,0.012499999999999956
Llama-3.1-8B-Instruct,star,sh,silence,degraded,0.090625,0.00625,0.19099845157087125,0.15000000000000002
Llama-3.1-8B-Instruct,star,sh,counterfactual,degraded,0.090625,0.003125,0.31332948075673916,0.275
