model_id,scenario,game,n_messages,rank,word,count,freq
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,1,rewards,210,0.65625
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,2,keep,172,0.5375
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,3,cooperating,162,0.50625
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,4,cooperate,155,0.484375
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,5,maximum,107,0.334375
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,6,long,103,0.321875
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,7,together,101,0.315625
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,8,term,101,0.315625
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,9,highest,84,0.2625
Qwen2.5-7B-Instruct,baseline_cheap_talk,pd,320,10,high,67,0.209375
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,1,rewards,266,0.83125
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,2,stag,174,0.54375
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,3,together,174,0.54375
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,4,keep,146,0.45625
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,5,highest,134,0.41875
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,6,maximum,97,0.303125
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,7,continue,86,0.26875
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,8,cooperating,86,0.26875
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,9,choosing,72,0.225
Qwen2.5-7B-Instruct,baseline_cheap_talk,sh,320,10,hunt,47,0.146875
Qwen2.5-7B-Instruct,counterfactual,pd,320,1,cooperate,262,0.81875
Qwen2.5-7B-Instruct,counterfactual,pd,320,2,again,206,0.64375
Qwen2.5-7B-Instruct,counterfactual,pd,320,3,earn,149,0.465625
Qwen2.5-7B-Instruct,counterfactual,pd,320,4,streak,89,0.278125
Qwen2.5-7B-Instruct,counterfactual,pd,320,5,score,82,0.25625
Qwen2.5-7B-Instruct,counterfactual,pd,320,6,defect,73,0.228125
Qwen2.5-7B-Instruct,counterfactual,pd,320,7,points,69,0.215625
Qwen2.5-7B-Instruct,counterfactual,pd,320,8,gain,51,0.159375
Qwen2.5-7B-Instruct,counterfactual,pd,320,9,get,50,0.15625
Qwen2.5-7B-Instruct,counterfactual,pd,320,10,scores,50,0.15625
Qwen2.5-7B-Instruct,counterfactual,sh,320,1,stag,282,0.88125
Qwen2.5-7B-Instruct,counterfactual,sh,320,2,earn,222,0.69375
Qwen2.5-7B-Instruct,counterfactual,sh,320,3,again,219,0.684375
Qwen2.5-7B-Instruct,counterfactual,sh,320,4,chose,178,0.55625
Qwen2.5-7B-Instruct,counterfactual,sh,320,5,points,163,0.509375
Qwen2.5-7B-Instruct,counterfactual,sh,320,6,choose,111,0.346875
Qwen2.5-7B-Instruct,counterfactual,sh,320,7,before,65,0.203125
Qwen2.5-7B-Instruct,counterfactual,sh,320,8,continue,59,0.184375
Qwen2.5-7B-Instruct,counterfactual,sh,320,9,like,58,0.18125
Qwen2.5-7B-Instruct,counterfactual,sh,320,10,hare,54,0.16875
Qwen2.5-7B-Instruct,no_sense,pd,320,1,birds,55,0.171875
Qwen2.5-7B-Instruct,no_sense,pd,320,2,fly,55,0.171875
Qwen2.5-7B-Instruct,no_sense,pd,320,3,earth,45,0.140625
Qwen2.5-7B-Instruct,no_sense,pd,320,4,time,40,0.125
Qwen2.5-7B-Instruct,no_sense,pd,320,5,flies,40,0.125
Qwen2.5-7B-Instruct,no_sense,pd,320,6,sunny,35,0.109375
Qwen2.5-7B-Instruct,no_sense,pd,320,7,day,35,0.109375
Qwen2.5-7B-Instruct,no_sense,pd,320,8,music,30,0.09375
Qwen2.5-7B-Instruct,no_sense,pd,320,9,enjoyable,30,0.09375
Qwen2.5-7B-Instruct,no_sense,pd,320,10,like,30,0.09375
Qwen2.5-7B-Instruct,no_sense,sh,320,1,birds,55,0.171875
Qwen2.5-7B-Instruct,no_sense,sh,320,2,fly,55,0.171875
Qwen2.5-7B-Instruct,no_sense,sh,320,3,earth,45,0.140625
Qwen2.5-7B-Instruct,no_sense,sh,320,4,time,40,0.125
Qwen2.5-7B-Instruct,no_sense,sh,320,5,flies,40,0.125
Qwen2.5-7B-Instruct,no_sense,sh,320,6,sunny,35,0.109375
Qwen2.5-7B-Instruct,no_sense,sh,320,7,day,35,0.109375
Qwen2.5-7B-Instruct,no_sense,sh,320,8,music,30,0.09375
Qwen2.5-7B-Instruct,no_sense,sh,320,9,enjoyable,30,0.09375
Qwen2.5-7B-Instruct,no_sense,sh,320,10,like,30,0.09375
Qwen2.5-7B-Instruct,framing_business,pd,320,1,returns,295,0.921875
Qwen2.5-7B-Instruct,framing_business,pd,320,2,investment,244,0.7625
Qwen2.5-7B-Instruct,framing_business,pd,320,3,contract,232,0.725
Qwen2.5-7B-Instruct,framing_business,pd,320,4,partnership,215,0.671875
Qwen2.5-7B-Instruct,framing_business,pd,320,5,ensures,166,0.51875
Qwen2.5-7B-Instruct,framing_business,pd,320,6,risk,165,0.515625
Qwen2.5-7B-Instruct,framing_business,pd,320,7,risks,107,0.334375
Qwen2.5-7B-Instruct,framing_business,pd,320,8,minimized,95,0.296875
Qwen2.5-7B-Instruct,framing_business,pd,320,9,maximum,90,0.28125
Qwen2.5-7B-Instruct,framing_business,pd,320,10,cooperative,89,0.278125
Qwen2.5-7B-Instruct,framing_business,sh,320,1,returns,310,0.96875
Qwen2.5-7B-Instruct,framing_business,sh,320,2,partnership,250,0.78125
Qwen2.5-7B-Instruct,framing_business,sh,320,3,stag,203,0.634375
Qwen2.5-7B-Instruct,framing_business,sh,320,4,contract,186,0.58125
Qwen2.5-7B-Instruct,framing_business,sh,320,5,risk,179,0.559375
Qwen2.5-7B-Instruct,framing_business,sh,320,6,investment,161,0.503125
Qwen2.5-7B-Instruct,framing_business,sh,320,7,high,103,0.321875
Qwen2.5-7B-Instruct,framing_business,sh,320,8,hunts,85,0.265625
Qwen2.5-7B-Instruct,framing_business,sh,320,9,invest,75,0.234375
Qwen2.5-7B-Instruct,framing_business,sh,320,10,management,66,0.20625
Qwen2.5-7B-Instruct,framing_competitive,pd,320,1,win,269,0.840625
Qwen2.5-7B-Instruct,framing_competitive,pd,320,2,big,222,0.69375
Qwen2.5-7B-Instruct,framing_competitive,pd,320,3,rivals,196,0.6125
Qwen2.5-7B-Instruct,framing_competitive,pd,320,4,edge,137,0.428125
Qwen2.5-7B-Instruct,framing_competitive,pd,320,5,defect,112,0.35
Qwen2.5-7B-Instruct,framing_competitive,pd,320,6,compete,101,0.315625
Qwen2.5-7B-Instruct,framing_competitive,pd,320,7,stay,85,0.265625
Qwen2.5-7B-Instruct,framing_competitive,pd,320,8,fiercely,84,0.2625
Qwen2.5-7B-Instruct,framing_competitive,pd,320,9,ahead,67,0.209375
Qwen2.5-7B-Instruct,framing_competitive,pd,320,10,seize,62,0.19375
Qwen2.5-7B-Instruct,framing_competitive,sh,320,1,win,266,0.83125
Qwen2.5-7B-Instruct,framing_competitive,sh,320,2,big,231,0.721875
Qwen2.5-7B-Instruct,framing_competitive,sh,320,3,stay,206,0.64375
Qwen2.5-7B-Instruct,framing_competitive,sh,320,4,stag,201,0.628125
Qwen2.5-7B-Instruct,framing_competitive,sh,320,5,ahead,175,0.546875
Qwen2.5-7B-Instruct,framing_competitive,sh,320,6,edge,173,0.540625
Qwen2.5-7B-Instruct,framing_competitive,sh,320,7,rivals,150,0.46875
Qwen2.5-7B-Instruct,framing_competitive,sh,320,8,compete,126,0.39375
Qwen2.5-7B-Instruct,framing_competitive,sh,320,9,choose,101,0.315625
Qwen2.5-7B-Instruct,framing_competitive,sh,320,10,fiercely,94,0.29375
Qwen2.5-7B-Instruct,framing_team,pd,320,1,team,296,0.925
Qwen2.5-7B-Instruct,framing_team,pd,320,2,together,279,0.871875
Qwen2.5-7B-Instruct,framing_team,pd,320,3,shared,272,0.85
Qwen2.5-7B-Instruct,framing_team,pd,320,4,goal,268,0.8375
Qwen2.5-7B-Instruct,framing_team,pd,320,5,other,210,0.65625
Qwen2.5-7B-Instruct,framing_team,pd,320,6,achieve,124,0.3875
Qwen2.5-7B-Instruct,framing_team,pd,320,7,support,113,0.353125
Qwen2.5-7B-Instruct,framing_team,pd,320,8,reach,104,0.325
Qwen2.5-7B-Instruct,framing_team,pd,320,9,supporting,99,0.309375
Qwen2.5-7B-Instruct,framing_team,pd,320,10,work,72,0.225
Qwen2.5-7B-Instruct,framing_team,sh,320,1,together,300,0.9375
