model_id,topology,game,cell,kind,anchor,value,delta,n
Llama-3.1-8B-Instruct,cycle,pd,baseline_cheap_talk,meaningful,0.5681483361247863,0.990625,0.42247666387521365,5
Llama-3.1-8B-Instruct,cycle,pd,framing_business,meaningful,0.5681483361247863,0.78125,0.21310166387521368,5
Llama-3.1-8B-Instruct,cycle,pd,framing_team,meaningful,0.5681483361247863,0.6799603174603175,0.11181198133553116,5
Llama-3.1-8B-Instruct,cycle,pd,framing_business_context[cheap_talk],meaningful,0.5681483361247863,0.978125,0.4099766638752137,5
Llama-3.1-8B-Instruct,cycle,pd,framing_team_context[cheap_talk],meaningful,0.5681483361247863,0.99375,0.4256016638752137,5
Llama-3.1-8B-Instruct,cycle,pd,no_sense,degraded,0.5681483361247863,0.6265120967741936,0.05836376064940729,5
Llama-3.1-8B-Instruct,cycle,pd,silence,degraded,0.5681483361247863,0.7356214482972812,0.16747311217249483,5
Llama-3.1-8B-Instruct,cycle,pd,counterfactual,degraded,0.5681483361247863,0.99375,0.4256016638752137,5
Llama-3.1-8B-Instruct,cycle,pd,framing_competitive,adversarial (messages),0.5681483361247863,0.31879960317460315,-0.24934873295018317,5
Llama-3.1-8B-Instruct,cycle,pd,framing_competitive_context[cheap_talk],adversarial (prompt),0.5681483361247863,0.9811011904761905,0.41295285435140416,5
Llama-3.1-8B-Instruct,cycle,sh,baseline_cheap_talk,meaningful,0.7025386291848177,0.915625,0.21308637081518234,5
Llama-3.1-8B-Instruct,cycle,sh,framing_business,meaningful,0.7025386291848177,0.7863095238095238,0.0837708946247061,5
Llama-3.1-8B-Instruct,cycle,sh,framing_team,meaningful,0.7025386291848177,0.690625,-0.011913629184817642,5
Llama-3.1-8B-Instruct,cycle,sh,framing_business_context[cheap_talk],meaningful,0.7025386291848177,0.928125,0.2255863708151823,5
Llama-3.1-8B-Instruct,cycle,sh,framing_team_context[cheap_talk],meaningful,0.7025386291848177,0.86875,0.16621137081518234,5
Llama-3.1-8B-Instruct,cycle,sh,no_sense,degraded,0.7025386291848177,0.740625,0.03808637081518229,5
Llama-3.1-8B-Instruct,cycle,sh,silence,degraded,0.7025386291848177,0.6492332099418296,-0.05330541924298804,5
Llama-3.1-8B-Instruct,cycle,sh,counterfactual,degraded,0.7025386291848177,0.9625,0.25996137081518234,5
Llama-3.1-8B-Instruct,cycle,sh,framing_competitive,adversarial (messages),0.7025386291848177,0.5562996031746031,-0.14623902601021455,5
Llama-3.1-8B-Instruct,cycle,sh,framing_competitive_context[cheap_talk],adversarial (prompt),0.7025386291848177,0.971875,0.26933637081518236,5
Llama-3.1-8B-Instruct,star,pd,baseline_cheap_talk,meaningful,0.46965541554976087,0.984375,0.5147195844502391,5
